Summary,Description,Issue Type,Priority,Labels,Component,Story Points,Depends On
[BE-001] Endpoint GET /api/health (DB + Redis),"Criar endpoint de health check para rollback e monitorização. Resposta JSON com status e checks (database, redis).

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,Highest,backend defensivo api,Backend,2,
[BE-002] Health: check opcional Celery,"Incluir no health check indicador opcional do estado do Celery (worker/fila).

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,High,backend defensivo api,Backend,1,BE-001
[BE-003] Modelo e storage de Feature Flags,"Persistência de feature flags (DB ou config) para rollback sem redeploy. Ex.: new_search_v2, avm_beta.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,Highest,backend defensivo arquitetura,Backend,2,
[BE-004] API de leitura de Feature Flags (pública),"GET /api/feature-flags/ retorna JSON com estado das flags para o frontend. Cacheável.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,Highest,backend defensivo api,Backend,1,BE-003
[BE-005] API de escrita de Feature Flags (admin),"Endpoint protegido para ativar/desativar flags (rollback rápido). Apenas admin/superuser.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,High,backend defensivo api,Backend,1,BE-003
[BE-006] Teste isolamento multi-tenant – Properties,"Teste: agência B não vê/altera imóveis da agência A. 404/403 em GET de recurso de outra agência.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,Highest,backend testes defensivo,Backend,2,
[BE-007] Teste isolamento multi-tenant – Leads,"Teste: agência B não acede a leads da agência A.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,Highest,backend testes defensivo,Backend,1,
[BE-008] Teste resiliência: API sem Redis,"Quando Redis indisponível, endpoints principais retornam 200 com dados válidos (sem cache).

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,High,backend testes defensivo,Backend,2,
[BE-009] Documentar passos de rollback no README/runbook,"Secção Rollback em docs/README: desativar flags, validar /api/health, referência script DevOps.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,Medium,backend defensivo,Backend,1,
[BE-010] Adicionar campo usage ao modelo Property,"Campo opcional usage (sale, long_term_rental, short_term_rental, pre_sale). Migração reversível.

Critérios de aceitação completos em: docs/TICKETS_BACKEND_FRONTEND.md e docs/TICKETS_OUTROS_AGENTES.md",Task,High,backend arquitetura,Backend,2,
